DATA MISURA;PRES. SUPERAM.;PARAMETRO;UNITA' MISURA;UBICAZIONE;LONGITUDINE;LATITUDINE;RETE;MEDIA GIORNALIERA;DATI INSUFF.;ATTIVO DAL;ATTIVO FINO AL;PARAM. ABBREV.;UBICAZ. ATT. DAL;UBICAZ. ATT. FINO AL
2005 February 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;51.56695;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;62.27105;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;59.46275;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;97.96496;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;80.09765;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;103.78505;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;96.74399;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 11;Vero;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;235.24619;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 12;Vero;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;205.006;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;140.37436;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;127.9202;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;56.28814;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.85225;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;82.90596;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;75.94627;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;87.17947;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;90.59826;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;23.72812;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
